,Date,Transit Ridership - Other Transit Modes - Adjusted,Transit Ridership - Fixed Route Bus - Adjusted,Transit Ridership - Urban Rail - Adjusted,Freight Rail Intermodal Units,Freight Rail Carloads,State and Local Government Construction Spending - Breakwater/Jetty,State and Local Government Construction Spending - Dam/Levee,State and Local Government Construction Spending - Conservation and Development,State and Local Government Construction Spending - Pump Station,State and Local Government Construction Spending - Line,State and Local Government Construction Spending - Water Treatment Plant,State and Local Government Construction Spending - Water Supply,State and Local Government Construction Spending - Line/Drain,State and Local Government Construction Spending - Waste Water Treatment Plant,State and Local Government Construction Spending - Waste Water,State and Local Government Construction Spending - Line/Pump Station,State and Local Government Construction Spending - Sewage Treatment Plant,State and Local Government Construction Spending - Sewage / Dry Waste,State and Local Government Construction Spending - Sewage and Waste Disposal,State and Local Government Construction Spending - Rest Facility,State and Local Government Construction Spending - Bridge,State and Local Government Construction Spending - Lighting,State and Local Government Construction Spending - Pavement,State and Local Government Construction Spending - Highway and Street,State and Local Government Construction Spending - Power,State and Local Government Construction Spending - Dock / Marina,State and Local Government Construction Spending - Water,State and Local Government Construction Spending - Mass Transit,State and Local Government Construction Spending - Land Passenger Terminal,State and Local Government Construction Spending - Land,State and Local Government Construction Spending - Runway,State and Local Government Construction Spending - Air Passenger Terminal,State and Local Government Construction Spending - Air,State and Local Government Construction Spending - Transportation,State and Local Government Construction Spending - Park / Camp,State and Local Government Construction Spending - Neighborhood Center,State and Local Government Construction Spending - Social Center,State and Local Government Construction Spending - Convention Center,State and Local Government Construction Spending - Performance / Meeting Center,State and Local Government Construction Spending - Sports,State and Local Government Construction Spending - Amusement and Recreation,State and Local Government Construction Spending - Fire & Rescue,State and Local Government Construction Spending - Other Public Safety,State and Local Government Construction Spending - Police & Sheriff,State and Local Government Construction Spending - Detention,State and Local Government Construction Spending - Correctional,State and Local Government Construction Spending - Public Safety,State and Local Government Construction Spending - Library / Archive,State and Local Government Construction Spending - Other Educational,State and Local Government Construction Spending - Infrastructure,State and Local Government Construction Spending - Sports & Recreation,State and Local Government Construction Spending - Dormitory,State and Local Government Construction Spending - Instructional,State and Local Government Construction Spending - Higher Education,State and Local Government Construction Spending - High School,State and Local Government Construction Spending - Middle School / Junior High,State and Local Government Construction Spending - Elementary Schools,State and Local Government Construction Spending - Primary/Secondary Schools,State and Local Government Construction Spending - Educational,State and Local Government Construction Spending - Special Care,State and Local Government Construction Spending - Medical Building,State and Local Government Construction Spending - Hospital,State and Local Government Construction Spending - Health Care,State and Local Government Construction Spending - Parking,State and Local Government Construction Spending - Automotive,State and Local Government Construction Spending - Commercial,State and Local Government Construction Spending - Office,State and Local Government Construction Spending - Non Residential,State and Local Government Construction Spending - Multi Family,State and Local Government Construction Spending - Residential,State and Local Government Construction Spending - Total,Transportation Employment - Pipeline Transportation,Transportation Employment - Water Transportation,Transportation Employment - Rail Transportation,Transportation Employment - Air Transportation,Transportation Employment - Transit and ground passenger transportation,Transportation Employment - Truck Transportation,Unemployment Rate - Seasonally Adjusted,Labor Force Participation Rate - Seasonally Adjusted,Unemployed - Seasonally Adjusted,Passenger Rail Passengers,Passenger Rail Passenger Miles,Passenger Rail Total Train Miles,Passenger Rail Employee Hours Worked,Rail Fatalities,Trespasser Fatalities Not at Highwaya-Rail Crossings,Transportation Services Index - Freight,Transportation Services Index - Passenger,Transportation Services Index - Combined,U.S.-Canada Incoming Person Crossings,U.S.-Canada Incoming Truck Crossings,U.S.-Mexico Incoming Person Crossings,Air Safety - Air Taxi and Commuter Fatalities,Heavy truck sales,U.S.-Mexico Incoming Truck Crossings,Light truck sales,Auto sales,Air Safety - Air Carrier Fatalities,U.S. Air Carrier Cargo (millions of revenue ton-miles) - International,Truck tonnage index,U.S. Air Carrier Cargo (millions of revenue ton-miles) - Domestic,Heavy truck sales SAAR (millions),Light truck sales SAAR (millions),Auto sales SAAR (millions),Transborder - Total North American Freight,Transborder - U.S. - Mexico Freight,Transborder - U.S. - Canada Freight,Month
696,01/01/2005 12:00:00 AM,11611875.0,416054551.0,311945546.0,1004042.0,1538344.0,32000000.0,22000000.0,98000000.0,45000000.0,349000000.0,395000000.0,875000000.0,97000000.0,399000000.0,496000000.0,446000000.0,199000000.0,658000000.0,1154000000.0,54000000.0,726000000.0,59000000.0,1969000000.0,2929000000.0,610000000.0,54000000.0,90000000.0,224000000.0,105000000.0,476000000.0,202000000.0,303000000.0,559000000.0,1125000000.0,144000000.0,67000000.0,74000000.0,97000000.0,144000000.0,123000000.0,490000000.0,115000000.0,143000000.0,73000000.0,224000000.0,297000000.0,440000000.0,148000000.0,203000000.0,85000000.0,105000000.0,171000000.0,614000000.0,1141000000.0,1182000000.0,546000000.0,925000000.0,2739000000.0,4129000000.0,39000000.0,94000000.0,260000000.0,392000000.0,92000000.0,105000000.0,128000000.0,450000000.0,12825000000.0,292000000.0,305000000.0,13130000000.0,38100.0,55500.0,191000.0,505200.0,407900.0,1348500.0,0.053,0.658,7784000.0,1839989.0,378368103.0,3339582.0,3203078.0,73.0,22.0,114.2,107.8,112.5,22462.0,534785.0,3769098.0,0.0,35300.0,361479.0,573200.0,487300.0,0.0,1696943758.9099998,88.2,1280515593.56,519000.0,8921000.0,7448000.0,90063789483.5,40916668008.5,48860619994.0,01/2005
697,02/01/2005 12:00:00 AM,11445295.0,403144202.0,305374953.0,885038.0,1340764.0,28000000.0,29000000.0,101000000.0,52000000.0,381000000.0,369000000.0,882000000.0,81000000.0,374000000.0,455000000.0,461000000.0,199000000.0,673000000.0,1128000000.0,45000000.0,860000000.0,58000000.0,2057000000.0,3120000000.0,523000000.0,62000000.0,99000000.0,246000000.0,65000000.0,434000000.0,217000000.0,312000000.0,577000000.0,1111000000.0,157000000.0,67000000.0,82000000.0,98000000.0,146000000.0,120000000.0,515000000.0,112000000.0,141000000.0,72000000.0,202000000.0,273000000.0,414000000.0,142000000.0,199000000.0,79000000.0,125000000.0,158000000.0,670000000.0,1211000000.0,1133000000.0,594000000.0,896000000.0,2695000000.0,4146000000.0,29000000.0,108000000.0,241000000.0,378000000.0,99000000.0,109000000.0,133000000.0,427000000.0,12885000000.0,297000000.0,310000000.0,13194000000.0,37700.0,55100.0,191400.0,503400.0,407700.0,1349000.0,0.054,0.659,7980000.0,1794687.0,351583660.0,3068580.0,2984504.0,73.0,40.0,113.2,108.4,112.0,21018.0,528576.0,3751922.0,1.0,35400.0,366633.0,678600.0,572000.0,0.0,1561958529.8600004,86.3,1253130189.92,483000.0,8840000.0,7560000.0,90063789483.5,40916668008.5,48860619994.0,02/2005
698,03/01/2005 12:00:00 AM,13310572.0,473893673.0,349880600.0,846425.0,1344164.0,38000000.0,36000000.0,116000000.0,49000000.0,391000000.0,420000000.0,980000000.0,99000000.0,409000000.0,507000000.0,497000000.0,205000000.0,715000000.0,1223000000.0,75000000.0,884000000.0,63000000.0,2454000000.0,3583000000.0,557000000.0,42000000.0,80000000.0,264000000.0,77000000.0,517000000.0,212000000.0,273000000.0,556000000.0,1153000000.0,184000000.0,67000000.0,80000000.0,115000000.0,156000000.0,129000000.0,559000000.0,107000000.0,142000000.0,64000000.0,216000000.0,280000000.0,422000000.0,159000000.0,216000000.0,93000000.0,148000000.0,189000000.0,745000000.0,1343000000.0,1299000000.0,592000000.0,959000000.0,2933000000.0,4550000000.0,37000000.0,100000000.0,261000000.0,398000000.0,98000000.0,108000000.0,142000000.0,450000000.0,14145000000.0,304000000.0,322000000.0,14466000000.0,37600.0,56700.0,191900.0,504200.0,409200.0,1359900.0,0.052,0.659,7737000.0,2259679.0,463828081.0,3441123.0,3364647.0,67.0,35.0,112.6,108.4,111.6,28760.0,591197.0,4527151.0,0.0,43400.0,397724.0,853700.0,718800.0,0.0,1958161775.53,85.7,1469764699.28,484000.0,9168000.0,7761000.0,90063789483.5,40916668008.5,48860619994.0,03/2005
699,04/01/2005 12:00:00 AM,12907373.0,443809746.0,335620384.0,1095545.0,1704628.0,53000000.0,38000000.0,132000000.0,53000000.0,462000000.0,466000000.0,1131000000.0,111000000.0,427000000.0,537000000.0,570000000.0,239000000.0,824000000.0,1361000000.0,78000000.0,1106000000.0,69000000.0,2949000000.0,4320000000.0,589000000.0,59000000.0,87000000.0,268000000.0,80000000.0,511000000.0,301000000.0,298000000.0,664000000.0,1262000000.0,204000000.0,57000000.0,73000000.0,119000000.0,167000000.0,138000000.0,590000000.0,127000000.0,158000000.0,71000000.0,230000000.0,301000000.0,458000000.0,223000000.0,288000000.0,75000000.0,152000000.0,195000000.0,765000000.0,1384000000.0,1482000000.0,656000000.0,1089000000.0,3330000000.0,5065000000.0,33000000.0,100000000.0,307000000.0,441000000.0,122000000.0,132000000.0,160000000.0,455000000.0,15973000000.0,314000000.0,346000000.0,16319000000.0,37800.0,59400.0,193300.0,507300.0,413700.0,1377300.0,0.052,0.661,7672000.0,2118528.0,430496434.0,3253238.0,3217894.0,77.0,37.0,113.2,109.0,112.2,37191.0,561750.0,3890340.0,0.0,42600.0,395480.0,785200.0,714100.0,0.0,2078221975.9,86.6,1226824174.27,482000.0,9334000.0,7939000.0,90063789483.5,40916668008.5,48860619994.0,04/2005
700,05/01/2005 12:00:00 AM,12763833.0,455794647.0,342804244.0,893384.0,1332755.0,50000000.0,39000000.0,142000000.0,53000000.0,545000000.0,415000000.0,1162000000.0,115000000.0,395000000.0,510000000.0,756000000.0,274000000.0,1044000000.0,1554000000.0,95000000.0,1282000000.0,117000000.0,3963000000.0,5557000000.0,921000000.0,61000000.0,92000000.0,287000000.0,80000000.0,494000000.0,356000000.0,272000000.0,687000000.0,1273000000.0,234000000.0,68000000.0,83000000.0,117000000.0,169000000.0,154000000.0,650000000.0,120000000.0,156000000.0,75000000.0,235000000.0,311000000.0,467000000.0,198000000.0,262000000.0,94000000.0,161000000.0,279000000.0,762000000.0,1537000000.0,1611000000.0,730000000.0,1188000000.0,3634000000.0,5530000000.0,37000000.0,108000000.0,317000000.0,462000000.0,124000000.0,134000000.0,178000000.0,428000000.0,18334000000.0,327000000.0,365000000.0,18699000000.0,37500.0,61100.0,193900.0,507800.0,415300.0,1391700.0,0.051,0.661,7651000.0,2197000.0,462014277.0,3334596.0,3263367.0,95.0,63.0,112.5,108.9,111.7,54966.0,596880.0,3735725.0,0.0,41500.0,396384.0,805600.0,690200.0,0.0,1925489196.69,85.8,1261164593.01,486000.0,9415000.0,7513000.0,90063789483.5,40916668008.5,48860619994.0,05/2005
701,06/01/2005 12:00:00 AM,13209072.0,425623606.0,347032914.0,872857.0,1307469.0,53000000.0,40000000.0,153000000.0,66000000.0,573000000.0,453000000.0,1207000000.0,132000000.0,441000000.0,573000000.0,791000000.0,302000000.0,1100000000.0,1673000000.0,90000000.0,1369000000.0,168000000.0,4732000000.0,6479000000.0,856000000.0,65000000.0,95000000.0,262000000.0,83000000.0,468000000.0,489000000.0,263000000.0,813000000.0,1376000000.0,254000000.0,82000000.0,97000000.0,117000000.0,169000000.0,122000000.0,649000000.0,136000000.0,176000000.0,83000000.0,268000000.0,351000000.0,527000000.0,204000000.0,259000000.0,114000000.0,156000000.0,267000000.0,864000000.0,1686000000.0,1970000000.0,859000000.0,1446000000.0,4361000000.0,6386000000.0,38000000.0,92000000.0,303000000.0,433000000.0,126000000.0,136000000.0,179000000.0,451000000.0,20416000000.0,330000000.0,369000000.0,20786000000.0,37800.0,62600.0,193900.0,508300.0,383900.0,1418900.0,0.05,0.661,7524000.0,2229181.0,508598324.0,3266316.0,3251803.0,63.0,35.0,112.0,108.8,111.3,46147.0,599366.0,3706847.0,0.0,46300.0,402530.0,969200.0,704500.0,0.0,1981247254.09,85.7,1351713954.53,515000.0,10466000.0,7501000.0,90063789483.5,40916668008.5,48860619994.0,06/2005
702,07/01/2005 12:00:00 AM,13521836.0,424058723.0,327366213.0,1112897.0,1596811.0,63000000.0,27000000.0,156000000.0,69000000.0,564000000.0,386000000.0,1148000000.0,113000000.0,458000000.0,570000000.0,822000000.0,282000000.0,1109000000.0,1679000000.0,92000000.0,1342000000.0,189000000.0,4959000000.0,6699000000.0,828000000.0,88000000.0,123000000.0,293000000.0,78000000.0,497000000.0,525000000.0,241000000.0,828000000.0,1447000000.0,240000000.0,88000000.0,100000000.0,119000000.0,160000000.0,136000000.0,642000000.0,123000000.0,153000000.0,82000000.0,252000000.0,333000000.0,486000000.0,166000000.0,213000000.0,123000000.0,195000000.0,266000000.0,841000000.0,1678000000.0,2208000000.0,910000000.0,1499000000.0,4720000000.0,6693000000.0,38000000.0,97000000.0,290000000.0,425000000.0,109000000.0,118000000.0,154000000.0,447000000.0,20828000000.0,321000000.0,350000000.0,21178000000.0,37900.0,62800.0,194000.0,506200.0,335600.0,1418600.0,0.05,0.661,7406000.0,2294045.0,548229054.0,3335575.0,3219043.0,87.0,41.0,111.9,109.0,111.3,115891.0,505642.0,3862272.0,0.0,41400.0,361828.0,1092900.0,711300.0,0.0,1896306910.37,85.4,1325121254.21,527000.0,12589000.0,8018000.000000001,90063789483.5,40916668008.5,48860619994.0,07/2005
703,08/01/2005 12:00:00 AM,14296142.0,442130056.0,340440029.0,939277.0,1339598.0,71000000.0,35000000.0,165000000.0,75000000.0,665000000.0,425000000.0,1303000000.0,126000000.0,492000000.0,619000000.0,784000000.0,340000000.0,1129000000.0,1747000000.0,106000000.0,1541000000.0,130000000.0,5343000000.0,7236000000.0,825000000.0,102000000.0,138000000.0,295000000.0,67000000.0,524000000.0,609000000.0,249000000.0,931000000.0,1593000000.0,279000000.0,88000000.0,98000000.0,119000000.0,170000000.0,140000000.0,694000000.0,158000000.0,189000000.0,80000000.0,273000000.0,353000000.0,542000000.0,167000000.0,225000000.0,114000000.0,172000000.0,282000000.0,847000000.0,1720000000.0,2237000000.0,965000000.0,1577000000.0,4851000000.0,6880000000.0,44000000.0,97000000.0,288000000.0,429000000.0,136000000.0,147000000.0,180000000.0,426000000.0,22053000000.0,324000000.0,350000000.0,22404000000.0,38300.0,63800.0,192600.0,504800.0,328100.0,1423400.0,0.049,0.662,7345000.0,2240237.0,511556316.0,3406844.0,3451799.0,67.0,37.0,112.7,108.5,111.7,118323.0,619513.0,3990529.0,0.0,43300.0,407199.0,783500.0,697400.0,0.0,2004977072.62,86.9,1266498960.87,501000.0,9122000.0,7794000.0,90063789483.5,40916668008.5,48860619994.0,08/2005
704,09/01/2005 12:00:00 AM,13164273.0,463465350.0,338889664.0,926052.0,1343257.0,92000000.0,27000000.0,184000000.0,61000000.0,618000000.0,430000000.0,1249000000.0,131000000.0,483000000.0,613000000.0,788000000.0,361000000.0,1154000000.0,1767000000.0,112000000.0,1436000000.0,122000000.0,5450000000.0,7249000000.0,779000000.0,106000000.0,157000000.0,276000000.0,65000000.0,505000000.0,568000000.0,270000000.0,919000000.0,1581000000.0,257000000.0,74000000.0,84000000.0,111000000.0,163000000.0,136000000.0,646000000.0,203000000.0,237000000.0,95000000.0,273000000.0,367000000.0,605000000.0,188000000.0,236000000.0,96000000.0,147000000.0,296000000.0,835000000.0,1783000000.0,1889000000.0,811000000.0,1220000000.0,4006000000.0,6110000000.0,46000000.0,102000000.0,297000000.0,445000000.0,130000000.0,141000000.0,174000000.0,418000000.0,21232000000.0,306000000.0,331000000.0,21563000000.0,38200.0,62600.0,193200.0,495400.0,405000.0,1424000.0,0.05,0.661,7553000.0,2098159.0,436175168.0,3243126.0,3157384.0,84.0,58.0,111.7,110.3,111.5,55313.0,580446.0,3188385.0,3.0,41000.0,390992.0,680600.0,645300.0,0.0,2037929110.39,86.4,1274319928.19,500000.0,8484000.0,7943000.0,90063789483.5,40916668008.5,48860619994.0,09/2005
705,10/01/2005 12:00:00 AM,12724915.0,475619140.0,352622258.0,1234429.0,1661907.0,87000000.0,30000000.0,172000000.0,69000000.0,651000000.0,418000000.0,1271000000.0,142000000.0,476000000.0,618000000.0,805000000.0,357000000.0,1167000000.0,1785000000.0,107000000.0,1334000000.0,136000000.0,4737000000.0,6481000000.0,724000000.0,105000000.0,136000000.0,275000000.0,81000000.0,537000000.0,556000000.0,282000000.0,927000000.0,1599000000.0,266000000.0,80000000.0,84000000.0,108000000.0,163000000.0,142000000.0,662000000.0,177000000.0,207000000.0,100000000.0,279000000.0,380000000.0,587000000.0,195000000.0,245000000.0,123000000.0,142000000.0,248000000.0,779000000.0,1554000000.0,1760000000.0,815000000.0,1205000000.0,3858000000.0,5721000000.0,44000000.0,90000000.0,306000000.0,440000000.0,121000000.0,132000000.0,162000000.0,432000000.0,20061000000.0,333000000.0,363000000.0,20424000000.0,37800.0,62500.0,192700.0,493100.0,411700.0,1426900.0,0.05,0.661,7453000.0,2122908.0,432503304.0,3378017.0,3192168.0,57.0,28.0,111.2,107.9,110.5,61257.0,593744.0,3505276.0,0.0,41100.0,406766.0,582300.0,560800.0,0.0,2195277300.28,86.1,1309094741.92,488000.0,7453000.0,7394000.0,90063789483.5,40916668008.5,48860619994.0,10/2005
706,11/01/2005 12:00:00 AM,12004340.0,438362844.0,344979889.0,931054.0,1298401.0,82000000.0,44000000.0,173000000.0,82000000.0,555000000.0,424000000.0,1193000000.0,134000000.0,453000000.0,587000000.0,804000000.0,316000000.0,1128000000.0,1714000000.0,105000000.0,1237000000.0,61000000.0,3872000000.0,5420000000.0,550000000.0,102000000.0,130000000.0,255000000.0,73000000.0,505000000.0,482000000.0,277000000.0,848000000.0,1483000000.0,266000000.0,75000000.0,82000000.0,111000000.0,145000000.0,135000000.0,638000000.0,174000000.0,206000000.0,114000000.0,255000000.0,369000000.0,575000000.0,162000000.0,205000000.0,75000000.0,141000000.0,235000000.0,782000000.0,1474000000.0,1652000000.0,829000000.0,1181000000.0,3717000000.0,5449000000.0,39000000.0,100000000.0,287000000.0,426000000.0,103000000.0,115000000.0,153000000.0,429000000.0,18229000000.0,305000000.0,326000000.0,18555000000.0,37600.0,62000.0,192300.0,487500.0,420000.0,1422400.0,0.05,0.66,7566000.0,2076932.0,435866215.0,3250466.0,3097953.0,76.0,37.0,114.0,109.6,112.9,28277.0,570492.0,3660365.0,0.0,39200.0,409006.0,620400.0,541100.0,0.0,2171935188.9,88.6,1322616874.28,502000.0,8408000.0,7614000.0,90063789483.5,40916668008.5,48860619994.0,11/2005
